Rank,Major_category,Median
1,Engineering,110000
2,Engineering,75000
3,Engineering,73000
4,Engineering,70000
5,Engineering,65000
6,Engineering,65000
7,Engineering,60000
8,Engineering,60000
9,Engineering,60000
10,Engineering,60000
11,Engineering,60000
12,Engineering,60000
13,Engineering,58000
14,Engineering,57100
15,Engineering,57000
16,Engineering,56000
17,Engineering,54000
18,Engineering,52000
19,Engineering,52000
20,Engineering,50000
21,Engineering,50000
22,Engineering,50000
23,Engineering,50000
24,Engineering,50000
25,Engineering,46000
26,Engineering,44000
27,Engineering,40000
28,Engineering,40000
29,Engineering,40000
30,Business,62000
31,Business,51000
32,Business,50000
33,Business,47000
34,Business,46000
35,Business,45000
36,Business,40000
37,Business,40000
38,Business,40000
39,Business,38000
40,Business,38000
41,Business,36000
42,Business,33000
43,Physical Sciences,62000
44,Physical Sciences,46000
45,Physical Sciences,45000
46,Physical Sciences,44700
47,Physical Sciences,40000
48,Physical Sciences,39000
49,Physical Sciences,36200
50,Physical Sciences,36000
51,Physical Sciences,35000
52,Physical Sciences,35000
53,Law & Public Policy,54000
54,Law & Public Policy,50000
55,Law & Public Policy,36000
56,Law & Public Policy,36000
57,Law & Public Policy,35000
58,Computers & Mathematics,53000
59,Computers & Mathematics,45000
60,Computers & Mathematics,45000
61,Computers & Mathematics,45000
62,Computers & Mathematics,45000
63,Computers & Mathematics,45000
64,Computers & Mathematics,42000
65,Computers & Mathematics,41300
66,Computers & Mathematics,37500
67,Computers & Mathematics,36400
68,Computers & Mathematics,35000
